id,title,description,availability,condition,image_link,link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
SP01,Salchichas Ave Mini Del Mio,"Familia: Salchichas, morcillas y preparados cárnicos. Caja de 1 unidad. Peso aproximado por unidad: 2 kg. Tarifa 1: 7,722 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=SP01%2312.1,https://www.thehagentic.com/api/chacon/producto?codigo=SP01,DEL MIO,"Salchichas, morcillas y preparados cárnicos",Tarifa 1,1,2,salchichas,tarifa_1_validada
025418,Chopped Pork Campofrio 3 Kg C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,431 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025418%2312.2,https://www.thehagentic.com/api/chacon/producto?codigo=025418,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,chopped,tarifa_1_validada
025420,"Mortadela Clásica Campofrio 3,5 Kg. C/2U","Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3,5 kg. Tarifa 1: 5,431 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025420%2312.3,https://www.thehagentic.com/api/chacon/producto?codigo=025420,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3.5,mortadela,tarifa_1_validada
025433,Lunch 3 Kg Campofrio C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,653 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025433%2313.1,https://www.thehagentic.com/api/chacon/producto?codigo=025433,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,lunch,tarifa_1_validada
028012,Chopped Pork Campofrio 330G C/15U,"Familia: Jamones, fiambres y cocidos. Caja de 15 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 1,538 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=028012%2313.2,https://www.thehagentic.com/api/chacon/producto?codigo=028012,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,15,0.33,chopped,tarifa_1_validada
212,Fiambre Paleta Horno Campofrio C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 1 unidad. Peso aproximado por unidad: 4 kg. Tarifa 1: 9,028 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=212%2313.3,https://www.thehagentic.com/api/chacon/producto?codigo=212,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,1,4,fiambre,tarifa_1_validada
26644,Mortadela Clásica Campofrio 330G C/15U,"Familia: Jamones, fiambres y cocidos. Caja de 15 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 1,538 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=26644%2314.1,https://www.thehagentic.com/api/chacon/producto?codigo=26644,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,15,0.33,mortadela,tarifa_1_validada
3286,Centro De Jamon Navidul C/2 U — Campofrio,"Familia: Otros productos. Caja de 2 unidades. Peso aproximado por unidad: 4,5 kg. Tarifa 1: 14,028 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=3286%2314.3,https://www.thehagentic.com/api/chacon/producto?codigo=3286,CAMPOFRIO,Otros productos,Tarifa 1,2,4.5,jamon,tarifa_1_validada
6803,Chopped Cerdo Esp. 350 Grs.Crismona,"Familia: Jamones, fiambres y cocidos. Caja de 12 unidades. Peso aproximado por unidad: 0,425 kg. Precio pendiente de confirmar por Chacón Alcántara. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6803%2315.1,https://www.thehagentic.com/api/chacon/producto?codigo=6803,CRISMONA,"Jamones, fiambres y cocidos",Tarifa 1,12,0.425,chopped,precio_pendiente
6804,"Chopped Cerdo Esp. 1,7 Kg.Crismona","Familia: Jamones, fiambres y cocidos. Caja de 6 unidades. Peso aproximado por unidad: 1,7 kg. Tarifa 1: 11,294 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6804%2316.1,https://www.thehagentic.com/api/chacon/producto?codigo=6804,CRISMONA,"Jamones, fiambres y cocidos",Tarifa 1,6,1.7,chopped,tarifa_1_validada
6812,Salchichas 5 Pares Crismona,"Familia: Salchichas, morcillas y preparados cárnicos. Caja de 12 unidades. Peso aproximado por unidad: 0,5 kg. Tarifa 1: 1,811 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6812%2316.2,https://www.thehagentic.com/api/chacon/producto?codigo=6812,CRISMONA,"Salchichas, morcillas y preparados cárnicos",Tarifa 1,12,0.5,salchichas,tarifa_1_validada
4100,Zurrapa De Lomo Blanca 500 Gm. — El Caserito,"Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 0,5 kg. Tarifa 1: 9,722 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=4100%2316.3,https://www.thehagentic.com/api/chacon/producto?codigo=4100,EL CASERITO,Otros productos,Tarifa 1,1,0.5,,tarifa_1_validada
4101,Zurrapa De Lomo Colora 500 Gm. — El Caserito,"Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 0,5 kg. Tarifa 1: 9,722 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=4101%2317.1,https://www.thehagentic.com/api/chacon/producto?codigo=4101,EL CASERITO,Otros productos,Tarifa 1,1,0.5,,tarifa_1_validada
0000641,Fiambre Sandw 4Kg Sin Lactosa El Pozo,"FORMATO:Rectangular tipo sandwich 110 x 110 mm TIPO DE ENVASE: Tubo plastificado transparente. Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 4 kg. Tarifa 1: 5,143 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0000641%2317.2,https://www.thehagentic.com/api/chacon/producto?codigo=0000641,EL POZO,"Jamones, fiambres y cocidos",Tarifa 1,2,4,fiambre,tarifa_1_validada
0005825,Jamon Cocido En Su Jugo El Pozo,"Familia: Jamones, fiambres y cocidos. Caja de 1 unidad. Peso aproximado por unidad: 7 kg. Tarifa 1: 7,688 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0005825%2317.3,https://www.thehagentic.com/api/chacon/producto?codigo=0005825,EL POZO,"Jamones, fiambres y cocidos",Tarifa 1,1,7,jamon_cocido,tarifa_1_validada
10002,"Harina Freir 5 Kg. Cubo ""Espiga Real""","Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 5 kg. Tarifa 1: 2,153 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=10002%2318.1,https://www.thehagentic.com/api/chacon/producto?codigo=10002,ESPIGA REAL,Otros productos,Tarifa 1,1,5,,tarifa_1_validada
500203,Unidad Panceta Iberica Tacos — Fraber,"Familia: Otros productos. Caja de 30 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 3,072 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=500203%2318.2,https://www.thehagentic.com/api/chacon/producto?codigo=500203,FRABER,Otros productos,Tarifa 1,30,0.33,panceta,tarifa_1_validada
53100P,Lacon Cocido Y Ahumado Extra — Frimancha,"Familia: Jamones, fiambres y cocidos. Caja de 1 unidad. Tarifa 1: 8,333 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=53100P%2318.3,https://www.thehagentic.com/api/chacon/producto?codigo=53100P,FRIMANCHA,"Jamones, fiambres y cocidos",Tarifa 1,1,,lacon,tarifa_1_validada
6708,Chopped 2.2 Kg Lata C/2P Frimancha,"Gran cantidad de carne¡¡ Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 2,2 kg. Tarifa 1: 7,375 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6708%2319.1,https://www.thehagentic.com/api/chacon/producto?codigo=6708,FRIMANCHA,"Jamones, fiambres y cocidos",Tarifa 1,2,2.2,chopped,tarifa_1_validada
6710,Hamburguesas Congelado(6Kilos) Frimancha,"Familia: Congelados. Caja de 1 unidad. Tarifa 1: 8,031 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6710%2319.2,https://www.thehagentic.com/api/chacon/producto?codigo=6710,FRIMANCHA,Congelados,Tarifa 1,1,,,tarifa_1_validada
