codigo,pagina,descripcion,campos_sin_informar
30101,24,FILETES DE CABALLA A/G 1800 C/ 6,"gluten, lactosa, observaciones"
30101,24,FILETES DE CABALLA A/G 1800 C/ 6,"gluten, lactosa, observaciones"
30201,25,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,"gluten, lactosa, observaciones"
30201,25,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,"gluten, lactosa, observaciones"
30301,25,FILETES CABALLA RO 550 C/24 A/G,"gluten, lactosa, observaciones"
30301,26,FILETES CABALLA RO 550 C/24 A/G,"gluten, lactosa, observaciones"
30501,26,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,"gluten, lactosa, observaciones"
30501,26,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,"gluten, lactosa, observaciones"
30701,27,FILETES DE CABALLA A/G 1000 C/ 12,"gluten, lactosa, observaciones"
30701,27,FILETES DE CABALLA A/G 1000 C/ 12,"gluten, lactosa, observaciones"
5100,27,MELVA 1800 FILETE DE ALMADRABA RO C/6,"gluten, lactosa, observaciones"
5100,28,MELVA 1800 FILETE DE ALMADRABA RO C/6,"gluten, lactosa, observaciones"
5102,28,MELVA FILETE DE ALMADRABA 1000 C/ 12,"gluten, lactosa, observaciones"
5102,28,MELVA FILETE DE ALMADRABA 1000 C/ 12,"gluten, lactosa, observaciones"
307002,29,1/2 QUESO MEZCLA SEMI SIN LACTOSA PLAZA VIEJA,"gluten, lactosa, observaciones"
6302,29,LOMITO IBERICO BELLOTA *MARCIAL*,"gluten, lactosa, observaciones"
6302,29,LOMITO IBERICO BELLOTA *MARCIAL*,"gluten, lactosa, observaciones"
6303,30,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,"gluten, lactosa, observaciones"
6303,30,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,"gluten, lactosa, observaciones"
6304,30,SALCHICHON CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6304,31,SALCHICHON CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6304,31,SALCHICHON CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6305,31,CHORIZO CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6305,32,CHORIZO CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6305,32,CHORIZO CULAR PLATA IB. *MARCIAL*,"gluten, lactosa, observaciones"
6313,32,JAMON CEBO CAMPO IBERICO 50% RAZA IB.,"cod_barras, gluten, lactosa, observaciones"
6314,33,"SALCHICHON IBERICO BELLOTA ""ORO"" MARCIAL","gluten, lactosa, observaciones"
1503,33,CENTRO JAMON 2 PZAS C/ MUÑOZ ROJO,"gluten, lactosa, observaciones"
7001,33,QUESO CURADO OCAÑA,"gluten, lactosa, observaciones"
7001,34,QUESO CURADO OCAÑA,"gluten, lactosa, observaciones"
3500,34,CHORIZO PAMPLONA EXTRA 2 PIEZAS,"cod_barras, gluten, lactosa, observaciones"
3502,34,BARRA LUNCH 1.3 KG.PAMPLONICA,"cod_barras, gluten, lactosa, observaciones"
3502,35,BARRA LUNCH 1.3 KG.PAMPLONICA,"cod_barras, gluten, lactosa, observaciones"
3506,35,CALLOS L/T MADRILEÑA 380G PAMPLONICA,"gluten, lactosa, observaciones"
8003,35,"QUESO ""EL HIDALGO"" ACEITE GRANDE","gluten, lactosa, observaciones"
8003,36,"QUESO ""EL HIDALGO"" ACEITE GRANDE","gluten, lactosa, observaciones"
8005,36,"QUESO ""EL HIDALGO"" MINI-ACEITE","gluten, lactosa, observaciones"
8009,36,1/2 QUESO EL HIDALGO OVEJA CURADO,"gluten, lactosa, observaciones"
8103,37,1/2 QUESO MEZCLA CURADO VACIO EL HIDALGO,"gluten, lactosa, observaciones"
4999,37,SOPAIPAS CONG. 1C/ 15 B/ RICARTE,"cod_barras, gluten, lactosa, observaciones"
5000,37,CHURROS CONG.450GM. RICARTE,"cod_barras, gluten, lactosa, observaciones"
5000,38,CHURROS CONG.450GM. RICARTE,"cod_barras, gluten, lactosa, observaciones"
