producto_id,codigo,descripcion,marca,primary_category,subcategory,tags,category_aliases,display_order,classification_status,classification_source,classification_reviewed_by,motivo
30501#26.2,30501,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,77,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30501#26.3,30501,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,78,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30701#27.1,30701,FILETES DE CABALLA A/G 1000 C/ 12,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,79,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30701#27.2,30701,FILETES DE CABALLA A/G 1000 C/ 12,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,80,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
5100#27.3,5100,MELVA 1800 FILETE DE ALMADRABA RO C/6,LA TARIFEÑA,conservas_pescado,melva,marca|pescado,,81,auto_confirmado,regla:\bmelva\b,,regla inequívoca
5100#28.1,5100,MELVA 1800 FILETE DE ALMADRABA RO C/6,LA TARIFEÑA,conservas_pescado,melva,marca|pescado,,82,auto_confirmado,regla:\bmelva\b,,regla inequívoca
5102#28.2,5102,MELVA FILETE DE ALMADRABA 1000 C/ 12,LA TARIFEÑA,conservas_pescado,melva,marca|pescado,,83,auto_confirmado,regla:\bmelva\b,,regla inequívoca
5102#28.3,5102,MELVA FILETE DE ALMADRABA 1000 C/ 12,LA TARIFEÑA,conservas_pescado,melva,marca|pescado,,84,auto_confirmado,regla:\bmelva\b,,regla inequívoca
307002#29.1,307002,1/2 QUESO MEZCLA SEMI SIN LACTOSA PLAZA VIEJA,LAVEGA,quesos,queso,marca|queso|sin_lactosa,,85,auto_confirmado,regla:\bqueso,,regla inequívoca
6302#29.2,6302,LOMITO IBERICO BELLOTA *MARCIAL*,MARCIAL CASTRO,embutidos_curados,lomo,iberico|marca,,86,auto_confirmado,regla:\blomito\b,,regla inequívoca
6302#29.3,6302,LOMITO IBERICO BELLOTA *MARCIAL*,MARCIAL CASTRO,embutidos_curados,lomo,iberico|marca,,87,auto_confirmado,regla:\blomito\b,,regla inequívoca
6303#30.1,6303,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,MARCIAL CASTRO,embutidos_curados,lomo,cerdo|iberico|marca,,88,auto_confirmado,regla:\blomo plata\b,,regla inequívoca
6303#30.2,6303,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,MARCIAL CASTRO,embutidos_curados,lomo,cerdo|iberico|marca,,89,auto_confirmado,regla:\blomo plata\b,,regla inequívoca
